N	L	T	p
100	80	4.517824	0.000149
100	80	8.011360	0.000243
100	80	12.497787	0.000391
100	80	17.991025	0.000558
100	80	24.470855	0.000754
100	80	31.961479	0.000986
100	80	40.439853	0.001277
100	90	0.514666	0.000014
100	90	2.016522	0.000049
100	90	4.515832	0.000108
100	90	8.009626	0.000201
100	90	12.501924	0.000303
100	90	17.988491	0.000431
100	90	24.482206	0.000593
100	90	31.965718	0.000792
100	90	40.459864	0.001007
100	100	0.512759	0.000009
100	100	2.013635	0.000039
100	100	4.509049	0.000092
100	100	8.006158	0.000162
100	100	12.499778	0.000248
100	100	17.991851	0.000352
100	100	24.484557	0.000488
100	100	31.974087	0.000638
100	100	40.460687	0.000820
